## population PofZ values from gsi_sim.  These are plug-in values of type indicated by the file name
IndivName	NumLoc	srumapop	srvalpop	wfyankee	mainefsr	srefspop	srpahpop	srlempop	srnfspop
OtsSALM18C_1170	164	0.08502853	0.00877318	0.00001602	0.00131950	0.07537830	0.81486466	0.01366901	0.00095079
OtsSALM18C_1171	170	0.03106321	0.00051845	0.00000116	0.23201029	0.73470901	0.00153806	0.00000187	0.00015796
OtsSALM18C_1172	170	0.38014625	0.16622087	0.00000471	0.11204877	0.26288090	0.00025382	0.07844455	0.00000011
OtsSALM18C_1173	168	0.51607581	0.00047061	0.00002268	0.03790838	0.44248220	0.00051591	0.00252176	0.00000264
OtsSALM18C_1174	168	0.07406115	0.33759209	0.00076711	0.18002928	0.39965159	0.00316224	0.00000015	0.00473639
OtsSALM18C_1175	170	0.00069964	0.00030555	0.00000000	0.00015840	0.68454373	0.31427868	0.00000810	0.00000590
OtsSALM18C_1176	166	0.18578707	0.15114599	0.00000384	0.55072299	0.11163837	0.00063826	0.00005713	0.00000635
OtsSALM18C_1177	168	0.04033802	0.04776509	0.00022422	0.00397697	0.05241507	0.84584634	0.00536163	0.00407265
OtsSALM18C_1178	163	0.02029229	0.00521523	0.00000568	0.31600626	0.01818663	0.63969197	0.00059902	0.00000292
OtsSALM18C_1179	160	0.62006711	0.20925093	0.00000253	0.10277716	0.06734254	0.00054966	0.00000970	0.00000038
OtsSALM18C_1181	170	0.19827993	0.26541469	0.00000076	0.01195485	0.51702394	0.00023208	0.00709148	0.00000228
OtsSALM18C_1182	170	0.00630110	0.04792118	0.00005232	0.00191850	0.00368198	0.46791030	0.47217496	0.00003966
OtsSALM18C_1183	170	0.93842009	0.00891394	0.00016258	0.04197147	0.00284682	0.00764842	0.00003575	0.00000093
OtsSALM18C_1184	170	0.17026224	0.00406964	0.00304298	0.17659508	0.63712648	0.00887183	0.00002643	0.00000532
OtsSALM18C_1185	169	0.00005147	0.00007814	0.00000787	0.00002227	0.00008615	0.99927380	0.00048021	0.00000009
OtsSALM18C_1186	169	0.03004944	0.01078152	0.00000000	0.00060607	0.00318439	0.94363778	0.01128716	0.00045364
OtsSALM18C_1187	165	0.74936249	0.00006458	0.00156697	0.01081045	0.23310487	0.00505787	0.00002681	0.00000598
OtsSALM18C_1188	160	0.00006618	0.00603600	0.00000069	0.00202065	0.00727090	0.98455779	0.00004442	0.00000336
OtsSALM18C_1189	170	0.02636032	0.21293188	0.00003196	0.26838871	0.45103242	0.02525378	0.01584560	0.00015532
OtsSALM18C_1190	168	0.06950172	0.09442052	0.00001293	0.59785732	0.23624018	0.00003876	0.00000703	0.00192153
OtsSALM18C_1191	170	0.00049477	0.00038741	0.00000000	0.00206814	0.00001620	0.01198988	0.00002080	0.98502281
OtsSALM18C_1192	168	0.17466227	0.07830398	0.00004714	0.49226184	0.05722690	0.19747126	0.00000006	0.00002655
OtsSALM18C_1193	170	0.14337704	0.18524369	0.00000237	0.21987926	0.31987859	0.12613949	0.00253763	0.00294192
OtsSALM18C_1194	169	0.25386098	0.03701383	0.02202643	0.05478376	0.06003249	0.56872729	0.00001700	0.00353823
OtsSALM18C_1195	170	0.95599145	0.00151985	0.00007884	0.04064686	0.00034120	0.00129968	0.00000114	0.00012098
OtsSALM18C_1196	170	0.57828433	0.05095783	0.00043312	0.00233060	0.02247259	0.14305126	0.00000668	0.20246360
OtsSALM18C_1197	170	0.00002539	0.00060377	0.00000000	0.00006261	0.00040285	0.99748452	0.00142085	0.00000001
OtsSALM18C_1198	170	0.44922704	0.00638970	0.00000951	0.08250506	0.12828882	0.33353610	0.00000005	0.00004371
OtsSALM18C_1199	170	0.09057579	0.89801145	0.00174063	0.00209353	0.00748661	0.00008855	0.00000116	0.00000227
OtsSALM18C_1200	167	0.54787800	0.41707643	0.00000134	0.02265931	0.01232836	0.00005483	0.00000047	0.00000126
