season,radio_tag_id,pit_tag_id,tag_id,srr,length,weight,tag_purpose,release_site,duty_cycle,activation_time,release_time,notes
18_19,1260B,3DD.00776ED80A,1260,11W,118,16.8,fish,LLRTP,batch_1,2018-10-22T21:37:59Z,2018-10-30T23:30:00Z,"NA"
18_19,1265B,3DD.00776E9125,1265,11W,116,16.5,fish,LLRTP,batch_1,2018-10-22T21:44:23Z,2018-10-30T23:00:00Z,"NA"
18_19,1270B,3DD.00776F6332,1270,11W,119,15.6,fish,LLRTP,batch_1,2018-10-31T14:09:35Z,2018-10-31T22:45:00Z,"NA"
18_19,1275B,3DD.0077AFF9B7,1275,11W,116,17,fish,LLRTP,batch_1,2018-10-31T14:13:20Z,2018-10-31T22:45:00Z,"NA"
18_19,1280B,3DD.00776F7F38,1280,11W,113,15.5,fish,LLRTP,batch_1,2018-10-22T21:49:46Z,2018-10-30T23:00:00Z,"NA"
18_19,1285B,3DD.00776F6884,1285,11W,120,18.2,fish,LLRTP,batch_1,2018-10-31T13:59:23Z,2018-10-31T22:45:00Z,"NA"
18_19,1290B,3DD.00776F7A0B,1290,11W,115,14.5,fish,LLRTP,batch_1,2018-10-22T21:41:04Z,2018-10-30T23:00:00Z,"NA"
18_19,1295B,3DD.00776EA171,1295,11W,121,16.399999999999999,fish,LLRTP,batch_1,2018-10-22T21:52:23Z,2018-10-24T00:00:00Z,"NA"
18_19,1300B,3DD.0077AFE8DF,1300,11W,121,19,fish,LLRTP,batch_1,2018-10-31T17:02:27Z,2018-10-31T22:45:00Z,"NA"
18_19,1305B,3DD.00776EF7E8,1305,11W,102,12.8,fish,LLRTP,batch_1,2018-10-31T14:02:30Z,2018-10-31T22:45:00Z,"NA"
18_19,1310B,3DD.00776F580E,1310,11W,135,26.4,fish,PAHTRP,batch_1,2018-10-22T21:37:16Z,2018-10-29T22:45:00Z,"NA"
18_19,1315B,3DD.00777025EA,1315,11W,117,16,fish,LLRTP,batch_1,2018-10-31T14:07:55Z,2018-10-31T22:45:00Z,"NA"
18_19,1320B,3DD.0077703DD7,1320,11W,112,14.1,fish,LLRTP,batch_2,2018-10-22T11:42:34Z,2018-10-28T23:00:00Z,"NA"
18_19,1325B,3DD.00776EB71A,1325,11W,129,21.2,fish,LLRTP,batch_2,2018-10-22T11:53:32Z,2018-10-30T23:30:00Z,"NA"
18_19,1330B,3DD.00776F3898,1330,11W,105,12,fish,LLRTP,batch_2,2018-10-22T11:43:31Z,2018-10-30T23:30:00Z,"NA"
18_19,1335B,3DD.00776F4532,1335,11W,118,17.100000000000001,fish,LLRTP,batch_2,2018-10-22T11:44:26Z,2018-10-31T22:45:00Z,"NA"
18_19,1340B,3DD.00776F6F41,1340,11W,111,13.4,fish,LLRTP,batch_2,2018-10-22T11:46:33Z,2018-10-24T00:00:00Z,"NA"
