"Tag Code","Mark Rear Type Name","Event Type Name","Event Site Code Value","Event Date Time Value","Event Release Date Time Value","Antenna ID","Antenna Group Configuration Value","CTH Count"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:13 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:14 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:15 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:17 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:18 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:19 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:20 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:22 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:23 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:24 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:25 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:26 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:27 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:28 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:29 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:30 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:31 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:32 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:33 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:34 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:36 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:38 AM","","03","120","1"
